"ADMIN","proportion_loss_area"
"Anguilla",0
"Antarctica",0
"Antigua and Barbuda",0
"Armenia",0
"Aruba",0
"Ashmore and Cartier Islands",0
"Austria",0
"Azerbaijan",0
"Bahrain",0
"Bangladesh",0
"Barbados",0
"Belarus",0
"Belgium",0
"Bermuda",0
"Bosnia and Herzegovina",0
"British Indian Ocean Territory",0
"British Virgin Islands",0
"Bulgaria",0
"Cabo Verde",0
"Cayman Islands",0
"Comoros",0
"Cook Islands",0
"Croatia",0
"Cura̤ao",0
"Cyprus",0
"Czechia",0
"Denmark",0
"Djibouti",0
"Dominica",0
"Egypt",0
"El Salvador",0
"Eritrea",0
"Estonia",0
"Falkland Islands",0
"Faroe Islands",0
"Federated States of Micronesia",0
"Finland",0
"French Polynesia",0
"French Southern and Antarctic Lands",0
"Georgia",0
"Germany",0
"Greece",0
"Greenland",0
"Grenada",0
"Guam",0
"Guernsey",0
"Haiti",0
"Heard Island and McDonald Islands",0
"Hong Kong S.A.R.",0
"Hungary",0
"Iceland",0
"Indian Ocean Territories",0
"Iran",0
"Iraq",0
"Ireland",0
"Isle of Man",0
"Israel",0
"Italy",0
"Jamaica",0
"Jersey",0
"Jordan",0
"Kazakhstan",0
"Kiribati",0
"Kosovo",0
"Kuwait",0
"Kyrgyzstan",0
"Latvia",0
"Lebanon",0
"Lesotho",0
"Libya",0
"Liechtenstein",0
"Lithuania",0
"Luxembourg",0
"Macao S.A.R",0
"Macedonia",0
"Maldives",0
"Mali",0
"Malta",0
"Marshall Islands",0
"Mauritania",0
"Moldova",0
"Monaco",0
"Mongolia",0
"Montenegro",0
"Montserrat",0
"Namibia",0
"Nauru",0
"Netherlands",0
"Niger",0
"Niue",0
"Norfolk Island",0
"North Korea",0
"Northern Cyprus",0
"Northern Mariana Islands",0
"Norway",0
"Oman",0
"Pakistan",0
"Palau",0
"Palestine",0
"Pitcairn Islands",0
"Poland",0
"Portugal",0
"Puerto Rico",0
"Qatar",0
"Republic of Serbia",0
"Romania",0
"Russia",0
"Ṣo Tom̩ and Principe",0
"Saint Barthelemy",0
"Saint Helena",0
"Saint Kitts and Nevis",0
"Saint Lucia",0
"Saint Martin",0
"Saint Pierre and Miquelon",0
"Saint Vincent and the Grenadines",0
"Samoa",0
"San Marino",0
"Saudi Arabia",0
"Seychelles",0
"Siachen Glacier",0
"Singapore",0
"Sint Maarten",0
"Slovakia",0
"Slovenia",0
"Somalia",0
"Somaliland",0
"South Georgia and the Islands",0
"South Korea",0
"South Sudan",0
"Spain",0
"Sudan",0
"Sweden",0
"Switzerland",0
"Syria",0
"Tajikistan",0
"Togo",0
"Tonga",0
"Turkey",0
"Turkmenistan",0
"Turks and Caicos Islands",0
"Ukraine",0
"United Arab Emirates",0
"United Kingdom",0
"United States Virgin Islands",0
"Uzbekistan",0
"Vatican",0
"Wallis and Futuna",0
"Western Sahara",0
"Yemen",0
